iter	Logloss
0	0.6814505752
1	0.6709933297
2	0.6614796052
3	0.6525988529
4	0.6438377301
5	0.6354301807
6	0.6279316068
7	0.6210707784
8	0.612984769
9	0.6064007972
10	0.6000020553
11	0.5942658036
12	0.5884425415
13	0.5832010463
14	0.5782756895
15	0.5729626112
16	0.5686979453
17	0.563911493
18	0.5595440352
19	0.5558061003
20	0.5518783588
21	0.5481791858
22	0.5448357367
23	0.5416289002
24	0.5386476273
25	0.5350117988
26	0.5322214663
27	0.5294876925
28	0.5272892911
29	0.5244872372
30	0.5218624567
31	0.5191278802
32	0.51615105
33	0.5135453323
34	0.5114449562
35	0.5092319529
36	0.5073296499
37	0.5056124106
38	0.5039501764
39	0.5022422726
40	0.5005946538
41	0.4991121277
42	0.4977762023
43	0.495909957
44	0.4942637366
45	0.4930997458
46	0.4915027238
47	0.4900618052
48	0.4887136826
49	0.4873299902
50	0.4859805269
51	0.4845535025
52	0.4832631769
53	0.4819759038
54	0.4805345924
55	0.4793141795
56	0.4781485654
57	0.4771011748
58	0.4762047781
59	0.4753786299
60	0.4743329174
61	0.4731802938
62	0.4721877046
63	0.4712894773
64	0.470473591
65	0.4695320711
66	0.4686893176
67	0.4678692148
68	0.4672085093
69	0.4663543967
70	0.4655672086
71	0.4648078523
72	0.4640845194
73	0.4633066479
74	0.4627681108
75	0.4621197098
76	0.4616094107
77	0.4608275236
78	0.4600318134
79	0.4592728774
80	0.4586982151
81	0.4578979051
82	0.4573429593
83	0.4567501844
84	0.4561044211
85	0.4556456302
86	0.4548088479
87	0.4542206126
88	0.4535391548
89	0.4527400443
90	0.4523095732
91	0.4517679765
92	0.451101051
93	0.4504437589
94	0.4498571379
95	0.4493800131
96	0.4489440168
97	0.4483171311
98	0.4478143648
99	0.4472905855
100	0.4466474025
101	0.4460462853
102	0.4453525972
103	0.4448963255
104	0.4441782158
105	0.443666794
106	0.4432182749
107	0.4427307809
108	0.4419803333
109	0.4416718372
110	0.4412488817
111	0.4408845129
112	0.4403491718
113	0.4396405543
114	0.4391629365
115	0.4387174844
116	0.438275138
117	0.4377859421
118	0.4375369674
119	0.4372537349
120	0.4368271722
121	0.4367344622
122	0.4364229625
123	0.4360643556
124	0.4355537974
125	0.4350612666
126	0.4346565992
127	0.4342041134
128	0.4336985434
129	0.4334583217
130	0.4332005208
131	0.4329334436
132	0.4324994107
133	0.4324193157
134	0.4320091321
135	0.4315048767
136	0.4310115124
137	0.430662835
138	0.4302623825
139	0.4298012495
140	0.4295609723
141	0.4292616286
142	0.4289159279
143	0.428160951
144	0.4278910345
145	0.4274143595
146	0.4269495994
147	0.4265669393
148	0.4261458487
149	0.4257991744
150	0.4256036119
151	0.4252651392
152	0.4251244936
153	0.4249548374
154	0.4245714317
155	0.4242790389
156	0.4241237999
157	0.42375198
158	0.4234138076
159	0.4231175483
160	0.42262906
161	0.4220243035
162	0.4216390885
163	0.421215385
164	0.4209472401
165	0.4206695693
166	0.4202961642
167	0.4199893741
168	0.4197470339
169	0.4193664514
170	0.4191493579
171	0.4188754297
172	0.4184982416
173	0.4182325925
174	0.4180200813
175	0.4177456555
176	0.4174963194
177	0.4171145884
178	0.4167225904
179	0.4164866443
180	0.4161946518
181	0.4158337897
182	0.4154732979
183	0.4152326529
184	0.4149974449
185	0.4146851463
186	0.4144027998
187	0.4142242671
188	0.4139219091
189	0.4135700634
190	0.4133182981
191	0.4130181055
192	0.412836487
193	0.4124792262
194	0.4121871731
195	0.4119724061
196	0.4117579258
197	0.4114109243
198	0.4111477878
199	0.4106802101
200	0.4104684561
201	0.4102838608
202	0.4099711696
203	0.4095830086
204	0.4092777985
205	0.4089697825
206	0.4085720393
207	0.4082249459
208	0.4078355549
209	0.4076452083
210	0.4073568773
211	0.4071123674
212	0.406789362
213	0.4063996677
214	0.4061473296
215	0.4059759225
216	0.405780874
217	0.4054680725
218	0.4053968151
219	0.4051880504
220	0.4049439471
221	0.4046443626
222	0.4044384388
223	0.404204001
224	0.4040800262
225	0.403786287
226	0.4034247605
227	0.4031367552
228	0.4026170968
229	0.4022300381
230	0.4019056473
231	0.4017731873
232	0.4014414304
233	0.4011659094
234	0.4008310414
235	0.4006289287
236	0.4005300108
237	0.4003536859
238	0.4001167671
239	0.3997879204
240	0.3994989576
241	0.3992114942
242	0.3989472981
243	0.3987166178
244	0.3984116589
245	0.3981038056
246	0.3979847062
247	0.3975543304
248	0.3972460237
249	0.3968544561
250	0.3966665437
251	0.3965595345
252	0.3963661236
253	0.3960356541
254	0.3957626931
255	0.3955325524
256	0.3950746507
257	0.3948311689
258	0.3946228078
259	0.3944838678
260	0.3941736694
261	0.3937882706
262	0.3933352474
263	0.3931164527
264	0.3928842702
265	0.3926222268
266	0.3922906621
267	0.3920604318
268	0.3918449883
269	0.3915516611
270	0.3913795319
271	0.3910939492
272	0.3908247861
273	0.3905616487
274	0.3902471312
275	0.3899972418
276	0.3897215023
277	0.3893675955
278	0.3890118093
279	0.3886835977
280	0.3883794987
281	0.3880765781
282	0.3877521064
283	0.3875792146
284	0.3871375792
285	0.3867627791
286	0.3865126585
287	0.3861963342
288	0.3860958711
289	0.3859245189
290	0.3857427218
291	0.3856582816
292	0.3853044766
293	0.3851279121
294	0.3847457557
295	0.3845283242
296	0.384336637
297	0.3840550156
298	0.3837740281
299	0.3836144261
300	0.3832428003
301	0.3830034323
302	0.3827627627
303	0.3825355147
304	0.3823599262
305	0.3821994397
306	0.3819050284
307	0.3816999217
308	0.3813930861
309	0.3811413855
310	0.3811409501
311	0.3809968695
312	0.3807192856
313	0.3804638752
314	0.3801128365
315	0.3799486136
316	0.379750297
317	0.3795477274
318	0.3794094616
319	0.379044991
320	0.3787914676
321	0.3785835962
322	0.3783484914
323	0.378102974
324	0.3778822745
325	0.3777497493
326	0.3775787953
327	0.3773433609
328	0.3772195697
329	0.3770523897
330	0.3766576155
331	0.3765362496
332	0.3763471436
333	0.3761339438
334	0.3757865412
335	0.3755716891
336	0.3754184791
337	0.3752822029
338	0.3750442019
339	0.3748012354
340	0.3746039895
341	0.3741924613
342	0.3740479318
343	0.3738772448
344	0.3736387459
345	0.3734995835
346	0.3732702006
347	0.373141931
348	0.3730162473
349	0.3727985718
350	0.3724747441
351	0.3721188529
352	0.3718255479
353	0.3715237892
354	0.3712908584
355	0.37088359
356	0.3707217515
357	0.3704283226
358	0.370108972
359	0.3698783794
360	0.3696995023
361	0.3696055007
362	0.369422548
363	0.3692250226
364	0.3688965528
365	0.3685245853
366	0.3682752824
367	0.3682016046
368	0.3678601835
369	0.3677145983
370	0.3675121452
371	0.3672545644
372	0.3670984968
373	0.3670248285
374	0.3668521657
375	0.3665426886
376	0.3663318346
377	0.3661243676
378	0.3660073211
379	0.3657347865
380	0.3654090113
381	0.3652080821
382	0.3650493802
383	0.3647441156
384	0.3645869651
385	0.3643786393
386	0.3642609397
387	0.3641740567
388	0.3638975704
389	0.3635921245
390	0.3633449075
391	0.3630358618
392	0.3628768455
393	0.3627281185
394	0.3624805532
395	0.3622868635
396	0.3620206819
397	0.3616954914
398	0.3615173433
399	0.3613914862
400	0.3612661769
401	0.3610580916
402	0.3608097337
403	0.3604986551
404	0.3603944364
405	0.3602733129
406	0.3599666644
407	0.3598202686
408	0.3596508227
409	0.3595461086
410	0.3593282072
411	0.3592499383
412	0.3590441233
413	0.358875861
414	0.3585873249
415	0.358400281
416	0.3582568161
417	0.3581449544
418	0.3580323993
419	0.3579198515
420	0.3577576177
421	0.3575429834
422	0.3574004333
423	0.3571269774
424	0.3568352393
425	0.356700059
426	0.3565493203
427	0.3564155085
428	0.3563140398
429	0.3560777726
430	0.3559458682
431	0.3557283573
432	0.3554640939
433	0.3553505916
434	0.3552194247
435	0.3551179418
436	0.3549229375
437	0.3548130759
438	0.354493891
439	0.3542485829
440	0.3540749423
441	0.3539862665
442	0.3538828078
443	0.353782013
444	0.353651827
445	0.3535251766
446	0.3534099306
447	0.3532067462
448	0.3531009646
449	0.3529723193
450	0.3527868312
451	0.3526454009
452	0.3525714344
453	0.3523323974
454	0.3521798614
455	0.3520780672
456	0.3518147754
457	0.3517066237
458	0.3516259369
459	0.351538721
460	0.351332849
461	0.3512080226
462	0.3509878545
463	0.3508217141
464	0.3507078347
465	0.3505104749
466	0.3503688297
467	0.3501756972
468	0.3500406894
469	0.3498561532
470	0.3496352077
471	0.3495391469
472	0.3493003995
473	0.3491201227
474	0.3489974562
475	0.3489171241
476	0.3487548087
477	0.3485765551
478	0.34843508
479	0.3482748454
480	0.3481277379
481	0.348001676
482	0.3477446539
483	0.3475784977
484	0.3473141671
485	0.3470980434
486	0.3469553325
487	0.3468600232
488	0.3467196096
489	0.3466104754
490	0.3465071701
491	0.3463426294
492	0.3461763394
493	0.346050126
494	0.3458959679
495	0.3456361777
496	0.3454486214
497	0.3453249928
498	0.3451245882
499	0.3448802155
500	0.3447805224
501	0.3446183311
502	0.3444939057
503	0.344352232
504	0.3442201398
505	0.3440158983
506	0.3437703157
507	0.343678359
508	0.343451429
509	0.3432333366
510	0.3430255045
511	0.3428359382
512	0.3427181558
513	0.3424886908
514	0.3423093993
515	0.3421894747
516	0.3419621287
517	0.3417324692
518	0.3415650427
519	0.3414238344
520	0.3412931033
521	0.3411560615
522	0.340975015
523	0.340813125
524	0.3406257533
525	0.3404745816
526	0.3402609877
527	0.3400354071
528	0.339884076
529	0.3397530636
530	0.3396326567
531	0.3394109602
532	0.3392410459
533	0.3391699332
534	0.3390803705
535	0.3389989388
536	0.3388729393
537	0.3387134469
538	0.3384868544
539	0.3382908737
540	0.3380833917
541	0.3379177859
542	0.3377641078
543	0.3375769022
544	0.3374299779
545	0.3372307487
546	0.3371392241
547	0.3369227069
548	0.3367084804
549	0.3365474676
550	0.3363099866
551	0.3361034037
552	0.3359470055
553	0.3357411273
554	0.3356080059
555	0.335423181
556	0.3352792786
557	0.3351693817
558	0.3350890711
559	0.3349819613
560	0.3348738912
561	0.3347178623
562	0.3345910827
563	0.3343862121
564	0.3342061787
565	0.3340589309
566	0.3338932545
567	0.3337139274
568	0.3335309543
569	0.3333503291
570	0.333291181
571	0.333143594
572	0.3329249614
573	0.3327352437
574	0.3325402266
575	0.332313339
576	0.3322276556
577	0.3320173989
578	0.3318817571
579	0.3317385982
580	0.3315690733
581	0.3313992958
582	0.3312417903
583	0.3310161616
584	0.3308597874
585	0.3307755291
586	0.3306984889
587	0.3305722868
588	0.3304256523
589	0.3302638374
590	0.3301566892
591	0.3300266738
592	0.3299159753
593	0.3297235151
594	0.3295698025
595	0.3294883641
596	0.3292917363
597	0.3291189416
598	0.3289697997
599	0.3287989981
600	0.3286913445
601	0.3285596841
602	0.3284529305
603	0.3283415956
604	0.3282247924
605	0.3280350327
606	0.3279032081
607	0.3277870017
608	0.3276040918
609	0.3274402169
610	0.3272948356
611	0.3270911266
612	0.327017332
613	0.3268436741
614	0.3266916543
615	0.3265441042
616	0.3262807998
617	0.3261947734
618	0.3260411282
619	0.3259543477
620	0.3258436994
621	0.3257014138
622	0.3256246787
623	0.3254677829
624	0.3253405947
625	0.3251437115
626	0.3250565078
627	0.3249102318
628	0.3247083115
629	0.3245642795
630	0.3244329603
631	0.3243622035
632	0.3241796689
633	0.3240211182
634	0.323880134
635	0.3237263692
636	0.3235043886
637	0.3233656651
638	0.3233038926
639	0.323181099
640	0.3229708313
641	0.3228244439
642	0.3226848405
643	0.3225043652
644	0.3223323618
645	0.322225709
646	0.3220391958
647	0.3219021291
648	0.3217386
649	0.3216469489
650	0.3215237745
651	0.3213722775
652	0.3212065092
653	0.3211050059
654	0.3209677836
655	0.3207832608
656	0.3206644313
657	0.320530064
658	0.3204512
659	0.3203453223
660	0.3202639394
661	0.3200709976
662	0.3199844277
663	0.3198433734
664	0.319642228
665	0.3195100911
666	0.3194023738
667	0.3193187037
668	0.3191154255
669	0.3190242479
670	0.3188460181
671	0.3186469012
672	0.3183960246
673	0.3182637375
674	0.3181030808
675	0.317991589
676	0.3178655998
677	0.3177121548
678	0.3175099162
679	0.3173958984
680	0.3172541445
681	0.317014064
682	0.316873803
683	0.3167674343
684	0.3165355383
685	0.3164021975
686	0.3162887416
687	0.316147783
688	0.3160578425
689	0.3159350006
690	0.3158427164
691	0.3156784601
